Legislation Number,URL,Congress,Title,Sponsor,Party of Sponsor,Type1,Type2,Progress,Date of Introduction,Committees,Latest Action,Latest Action Date,Number of Cosponsors,Number of Related Bills,Amends Bill,Date Offered,Date Submitted,Date Proposed
H.Con.Res. 88,https://www.congress.gov/bill/118th-congress/house-concurrent-resolution/88,118th Congress (2023-2024),"Expressing the sense of Congress that the Secretary of State in coordination with the Secretary of the Treasury should investigate the use of cryptocurrencies by Hamas (also known as Harakat al-Muqawama al-Islamiya), and whether any cryptocurrencies were exchanged between Hamas and the United Nations Relief and Works Agency.","Burchett, Tim [Rep.-R-TN-2] (Introduced 02/06/2024)",Republican,neither,unrelated,introduced,02/06/2024,"House - Financial Services, Foreign Affairs","Referred to the Committee on Financial Services, and in addition to the Committee on Foreign Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",02/06/2024,0,0,,,,
H.R. 1747,https://www.congress.gov/bill/118th-congress/house-bill/1747,118th Congress (2023-2024),Blockchain Regulatory Certainty Act,"Emmer, Tom [Rep.-R-MN-6] (Introduced 03/23/2023)",Republican,potential regulation,directly related to Blockchain,introduced,03/23/2023,House - Financial Services,"Placed on the Union Calendar, Calendar No. 403.",05/06/2024,1,0,,,,
S. 1578,https://www.congress.gov/bill/118th-congress/senate-bill/1578,118th Congress (2023-2024),ACES Act,"Risch, James E. [Sen.-R-ID] (Introduced 05/11/2023)",Republican,potential regulation,directly related to cyptocurrencies,introduced,05/11/2023,Senate - Foreign Relations,Read twice and referred to the Committee on Foreign Relations.,05/11/2023,1,0,,,,
H.R. 4199,https://www.congress.gov/bill/118th-congress/house-bill/4199,118th Congress (2023-2024),"To amend the Agricultural Research, Extension, and Education Reform Act of 1998 to establish and carry out a pilot program to use blockchain technology in food safety and labeling.","Soto, Darren [Rep.-D-FL-9] (Introduced 06/16/2023)",Democratic,potential support,directly related to Blockchain,introduced,06/16/2023,House - Agriculture,"Referred to the Subcommittee on Conservation, Research, and Biotechnology.",08/21/2023,0,0,,,,
S. 1870,https://www.congress.gov/bill/118th-congress/senate-bill/1870,118th Congress (2023-2024),Prohibiting Foreign Adversary Interference in Cryptocurrency Markets Act,"Tuberville, Tommy [Sen.-R-AL] (Introduced 06/07/2023)",Republican,regulation,directly related to cyptocurrencies,introduced,06/07/2023,"Senate - Agriculture, Nutrition, and Forestry","Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.",06/07/2023,1,0,,,,
H.Res. 604,https://www.congress.gov/bill/118th-congress/house-resolution/604,118th Congress (2023-2024),Expressing support for blockchain technology and digital assets.,"Johnson, Dusty [Rep.-R-SD-At Large] (Introduced 07/20/2023)",Republican,support,directly related to cyptocurrencies,introduced,07/20/2023,"House - Energy and Commerce, Financial Services, Agriculture","Referred to the Subcommittee on Commodity Markets, Digital Assets, and Rural Development.",08/21/2023,4,0,,,,
H.R. 8275,https://www.congress.gov/bill/118th-congress/house-bill/8275,118th Congress (2023-2024),Border Security and Blockchain Technology Act,"Mace, Nancy [Rep.-R-SC-1] (Introduced 05/07/2024)",Republican,potential support,directly related to Blockchain,introduced,05/07/2024,House - Homeland Security,Referred to the Subcommittee on Border Security and Enforcement.,05/07/2024,1,0,,,,
H.R. 8480,https://www.congress.gov/bill/118th-congress/house-bill/8480,118th Congress (2023-2024),American Homeowner Crypto Modernization Act of 2024,"Mace, Nancy [Rep.-R-SC-1] (Introduced 05/21/2024)",Republican,support,directly related to cyptocurrencies,introduced,05/21/2024,"House - Financial Services, Veterans' Affairs",Referred to the Subcommittee on Economic Opportunity.,07/17/2024,1,0,,,,
H.R. 9480,https://www.congress.gov/bill/118th-congress/house-bill/9480,118th Congress (2023-2024),Empowering Law Enforcement to Combat Financial Fraud Act,"Nunn, Zachary [Rep.-R-IA-3] (Introduced 09/06/2024)",Republican,regulation,directly related to cyptocurrencies,introduced,09/06/2024,"House - Judiciary, Homeland Security","Referred to the Committee on the Judiciary, and in addition to the Committee on Homeland Security, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",09/06/2024,4,0,,,,
H.R. 8464,https://www.congress.gov/bill/118th-congress/house-bill/8464,118th Congress (2023-2024),Tokenization Report Act of 2024,"Timmons, William R. [Rep.-R-SC-4] (Introduced 05/17/2024)",Republican,potential support,directly related to Blockchain,introduced,05/17/2024,House - Financial Services,Referred to the House Committee on Financial Services.,05/17/2024,2,0,,,,
